epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3398.66,1.16443,2.0845,0.95022,1.23202,0.78817,0.65159,0.74065,0.47186,0.79155,0.64312,0.72603,0.38573,1.21153,2.04337,0.86004,1.20499,0.0007558,0.0007558,0.0007558
76,3443.48,1.17336,2.10053,0.95143,1.22968,0.78366,0.6572,0.73954,0.47096,0.78296,0.64876,0.72553,0.38482,1.21162,2.04441,0.86017,1.20426,0.0007525,0.0007525,0.0007525
77,3488.33,1.17507,2.10245,0.95147,1.23261,0.78218,0.65865,0.73985,0.47033,0.78809,0.64512,0.72565,0.38387,1.21381,2.04224,0.86213,1.20492,0.0007492,0.0007492,0.0007492
78,3531.01,1.15622,2.08495,0.94313,1.22852,0.79227,0.65273,0.73978,0.47023,0.79091,0.64312,0.72514,0.38393,1.2141,2.03926,0.8641,1.20322,0.0007459,0.0007459,0.0007459
79,3574.6,1.16494,2.0905,0.94305,1.22909,0.79525,0.64876,0.73831,0.47103,0.80258,0.63682,0.72577,0.38452,1.21186,2.03238,0.85981,1.1996,0.0007426,0.0007426,0.0007426
80,3619.59,1.16112,2.08514,0.93502,1.22513,0.78285,0.66005,0.74007,0.47202,0.78421,0.64942,0.72745,0.38515,1.21207,2.03076,0.85909,1.19992,0.0007393,0.0007393,0.0007393
81,3664.2,1.1636,2.09883,0.94394,1.22915,0.78678,0.65598,0.74032,0.47301,0.78558,0.64677,0.72781,0.38485,1.21245,2.03021,0.85918,1.20057,0.000736,0.000736,0.000736
82,3709.06,1.1605,2.07977,0.93619,1.22565,0.77367,0.66036,0.7414,0.47389,0.78059,0.64577,0.72566,0.38563,1.21254,2.02976,0.85981,1.20067,0.0007327,0.0007327,0.0007327
83,3754.28,1.16128,2.08546,0.93284,1.2231,0.77288,0.66401,0.74162,0.47393,0.77677,0.65041,0.72561,0.3867,1.21167,2.02961,0.86113,1.20018,0.0007294,0.0007294,0.0007294
84,3800.22,1.16016,2.08703,0.93109,1.22224,0.78421,0.65934,0.74247,0.47431,0.78267,0.64577,0.72538,0.38652,1.2112,2.03235,0.85897,1.19954,0.0007261,0.0007261,0.0007261
