epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,5246.78,2.48775,2.53792,1.85574,1.15702,0.44333,0.41176,0.40885,0.19465,0.41,0.3808,0.37947,0.13366,2.28626,2.11367,1.6561,1.10594,0.0008516,0.0008516,0.0008516
60,5413.77,2.43079,2.44621,1.81905,1.15458,0.47519,0.3808,0.40694,0.19406,0.49437,0.34205,0.38328,0.13539,2.29906,2.10056,1.61538,1.10293,0.0008318,0.0008318,0.0008318
61,5604.02,2.52233,2.60721,1.79899,1.16273,0.47519,0.3808,0.40694,0.19406,0.49437,0.34205,0.38328,0.13539,2.29906,2.10056,1.61538,1.10293,0.000812,0.000812,0.000812
62,5807.64,2.48707,2.55359,1.84695,1.16725,0.47519,0.3808,0.40694,0.19406,0.49437,0.34205,0.38328,0.13539,2.29906,2.10056,1.61538,1.10293,0.0007922,0.0007922,0.0007922
63,5994.78,2.40921,2.43407,1.74847,1.14289,0.54667,0.36533,0.43363,0.20461,0.53618,0.35432,0.40165,0.15246,2.29963,2.09741,1.57202,1.09909,0.0007724,0.0007724,0.0007724
64,6236.62,2.37559,2.39861,1.7267,1.14522,0.54667,0.36533,0.43363,0.20461,0.53618,0.35432,0.40165,0.15246,2.29963,2.09741,1.57202,1.09909,0.0007526,0.0007526,0.0007526
65,6401.3,2.45836,2.53331,1.73485,1.15191,0.54667,0.36533,0.43363,0.20461,0.53618,0.35432,0.40165,0.15246,2.29963,2.09741,1.57202,1.09909,0.0007328,0.0007328,0.0007328
66,6621.59,2.42829,2.53295,1.79845,1.16712,0.46333,0.43034,0.45319,0.19977,0.49915,0.37771,0.41951,0.15602,2.29884,2.12051,1.53587,1.09981,0.000713,0.000713,0.000713
67,6868.46,2.38857,2.42132,1.74016,1.13444,0.46333,0.43034,0.45319,0.19977,0.49915,0.37771,0.41951,0.15602,2.29884,2.12051,1.53587,1.09981,0.0006932,0.0006932,0.0006932
68,7085.1,2.446,2.50415,1.81228,1.16107,0.46333,0.43034,0.45319,0.19977,0.49915,0.37771,0.41951,0.15602,2.29884,2.12051,1.53587,1.09981,0.0006734,0.0006734,0.0006734
69,7273.42,2.32147,2.36453,1.71055,1.16932,0.49,0.45511,0.46141,0.21111,0.49,0.45511,0.45503,0.17139,2.24439,2.0774,1.4948,1.08465,0.0006536,0.0006536,0.0006536
70,7569.28,2.33027,2.37688,1.71531,1.1534,0.49,0.45511,0.46141,0.21111,0.49,0.45511,0.45503,0.17139,2.24439,2.0774,1.4948,1.08465,0.0006338,0.0006338,0.0006338
71,8275.5,2.39495,2.43046,1.75233,1.15892,0.49,0.45511,0.46141,0.21111,0.49,0.45511,0.45503,0.17139,2.24439,2.0774,1.4948,1.08465,0.000614,0.000614,0.000614
72,8699.58,2.31397,2.29594,1.69971,1.14586,0.48333,0.44892,0.45597,0.217,0.46333,0.43034,0.43436,0.16673,2.22087,2.05637,1.50321,1.08487,0.0005942,0.0005942,0.0005942
73,8916.28,2.40979,2.48751,1.67144,1.15954,0.48333,0.44892,0.45597,0.217,0.46333,0.43034,0.43436,0.16673,2.22087,2.05637,1.50321,1.08487,0.0005744,0.0005744,0.0005744
74,9060.76,2.38023,2.45103,1.68331,1.1514,0.48333,0.44892,0.45597,0.217,0.46333,0.43034,0.43436,0.16673,2.22087,2.05637,1.50321,1.08487,0.0005546,0.0005546,0.0005546
75,10320.3,2.41956,2.48022,1.72277,1.16168,0.48333,0.44892,0.45597,0.217,0.46333,0.43034,0.43436,0.16673,2.22087,2.05637,1.50321,1.08487,0.0005348,0.0005348,0.0005348
76,10560.2,2.44128,2.47297,1.67418,1.14865,0.52575,0.40156,0.4581,0.21292,0.56149,0.35913,0.43579,0.16673,2.21477,2.05321,1.48954,1.08091,0.000515,0.000515,0.000515
77,16011.3,2.41204,2.40953,1.72336,1.15121,0.52575,0.40156,0.4581,0.21292,0.56149,0.35913,0.43579,0.16673,2.21477,2.05321,1.48954,1.08091,0.0004952,0.0004952,0.0004952
